ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2,"Black",2020,"2020",250001,,"Douglas County, WA","05000US53017","douglas-county-wa"
2,"Black",2020,"2020",54643,17257,"Franklin County, WA","05000US53021","franklin-county-wa"
2,"Black",2020,"2020",51827,23058,"Grant County, WA","05000US53025","grant-county-wa"
2,"Black",2020,"2020",128542,67209,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
2,"Black",2020,"2020",67813,11560,"Island County, WA","05000US53029","island-county-wa"
2,"Black",2020,"2020",53961,2321,"King County, WA","05000US53033","king-county-wa"
2,"Black",2020,"2020",53797,7572,"Kitsap County, WA","05000US53035","kitsap-county-wa"
2,"Black",2020,"2020",18162,12813,"Lincoln County, WA","05000US53043","lincoln-county-wa"
2,"Black",2020,"2020",55447,3719,"Pierce County, WA","05000US53053","pierce-county-wa"
2,"Black",2020,"2020",62386,20467,"San Juan County, WA","05000US53055","san-juan-county-wa"
2,"Black",2020,"2020",69357,3341,"Snohomish County, WA","05000US53061","snohomish-county-wa"
2,"Black",2020,"2020",42163,9722,"Spokane County, WA","05000US53063","spokane-county-wa"
2,"Black",2020,"2020",75363,9513,"Thurston County, WA","05000US53067","thurston-county-wa"
2,"Black",2020,"2020",56302,22663,"Whatcom County, WA","05000US53073","whatcom-county-wa"
2,"Black",2020,"2020",20385,20350,"Whitman County, WA","05000US53075","whitman-county-wa"
2,"Black",2020,"2020",45802,5598,"Yakima County, WA","05000US53077","yakima-county-wa"
3,"Native American",2020,"2020",32500,16578,"Adams County, WA","05000US53001","adams-county-wa"
3,"Native American",2020,"2020",32294,5884,"Asotin County, WA","05000US53003","asotin-county-wa"
3,"Native American",2020,"2020",49052,21992,"Benton County, WA","05000US53005","benton-county-wa"
3,"Native American",2020,"2020",46557,7250,"Chelan County, WA","05000US53007","chelan-county-wa"
3,"Native American",2020,"2020",35165,5738,"Clallam County, WA","05000US53009","clallam-county-wa"
3,"Native American",2020,"2020",63939,11786,"Clark County, WA","05000US53011","clark-county-wa"
3,"Native American",2020,"2020",56106,10696,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
3,"Native American",2020,"2020",53274,40939,"Douglas County, WA","05000US53017","douglas-county-wa"
3,"Native American",2020,"2020",39861,7991.999999999999,"Ferry County, WA","05000US53019","ferry-county-wa"
